"origin","station_id","name","top_destination","state","status"
"578","1020","Anapur","0","","0"
"579","7525","Anapur (rajasthan)","0","","0"
"580","15936","Anapur Chhota","0","","0"
"581","12016","Anapur Chhota","0","","0"
"582","11161","Anapurgarh","0","","0"
"583","4341","Anara","0","","0"
"584","7887","Anari","0","","0"
"585","8810","Anatavaram","0","","0"
"586","18759","Anatavaram","0","","0"
"587","3271","Anavatti","0","","0"
"588","18834","Anbinnagaram (tamil Nadu)","0","","0"
"589","13503","Anchal","0","","0"
"590","545","Anchatgeri","0","","0"
"591","13008","Anda","0","","0"
"592","10279","Andagaduru","0","","0"
"593","7746","Andagalur gate","0","","0"
"594","2539","Andalur","0","","0"
"595","1149","Andalur gate","0","","0"
"596","4051","Andar","0","","0"
"597","11074","Andauli","0","","0"
"598","9152","Andhalgaon","0","","0"
"599","3076","Andhari","0","","0"
"600","7134","Andharia(west Bengal)","0","","0"
"601","11977","Andhera","0","","0"
"602","13730","Andheri","0","","0"
"603","13565","Andheri (E)","0","","0"
"604","12933","Andheri (Mumbai)","0","","0"
"605","8825","Andhra Tharhi","0","","0"
"606","10771","Andichiurani","0","","0"
"607","7590","Andimadam","0","","0"
"608","9900","Andipanthal","0","","0"
"609","12508","Andipanthal (tamil Nadu)","0","","0"
"610","3580","Andipatti","0","","0"
"611","21912","Andipattikottai (Tamil Nadu)","0","","0"
"612","12289","Andipur","0","","0"
"613","13029","Andur","0","","0"
"614","11886","Andurkonam","0","","0"
"615","11753","Ane (junnar)","0","","0"
"616","1944","Anegudde","0","","0"
"617","17067","Anegundi (karnataka)","0","","0"
"618","9770","Anekal","0","","0"
"619","17068","Anekere (karnataka)","0","","0"
"620","666","Anemadugu","0","","0"
"621","8497","Angadipuram","0","","0"
"622","1521","Angalakuduru","0","","0"
"623","7035","Angallu","0","","0"
"624","7752","Angamaly","0","","0"
"625","13769","Anganewadi, Maharashtra","0","","0"
"626","11855","Anganka","0","","0"
"627","13690","Angara","0","","0"
"628","6338","Angara","0","","0"
"629","6853","Angarkata","0","","0"
"630","9291","Angrail","0","","0"
"631","1290","Angul","0","","0"
"632","15692","Anida","0","","0"
"633","7647","Anikola","0","","0"
"634","2310","Anipur","0","","0"
"635","11623","Aniyapuram","0","","0"
"636","1951","Anjad","0","","0"
"637","10013","Anjakpani","0","","0"
"638","13521","Anjal","0","","0"
"639","13263","Anjala, Maharashtra","0","","0"
"640","13740","Anjan","0","","0"
"641","13677","Anjana","0","","0"
"642","18810","Anjangaon","0","","0"
"643","7535","Anjangaon","0","","0"
"644","4538","Anjani","0","","0"
"645","879","Anjaniya (MP)","0","","0"
"646","2848","Anjar","0","","0"
"647","2681","Anjarakandy","0","","0"
"648","4011","Anjarle","0","","0"
"649","10710","Anjengo","0","","0"
"650","959","Anjugramam","0","","0"
"651","15494","Anjuna","0","","0"
"652","15706","Anjuriem","0","","0"
"653","5717","Ankadakatte","0","","0"
"654","3947","Ankadiya","0","","0"
"655","7228","Ankalamma Guduru","0","","0"
"656","4204","Ankali","0","","0"
"657","13691","Anklav","0","","0"
"658","8360","Ankleshwar","0","","0"
"659","7372","Ankleshwar (bypass)","0","","0"
"660","1133","Ankola","0","","0"
"661","1488","Ankolvadi","0","","0"
"662","9078","Anmod","0","","0"
"663","17400","Annadevarapeta (west Godavari)","0","","0"
"664","9385","Annambhotlavari Palem","0","","0"
"665","7495","Annapur","0","","0"
"666","9355","Annaram","0","","0"
"667","7273","Annasamudram Peta","0","","0"
"668","585","Annavaram","0","","0"
"669","22094","Annavaram (nuzividu)","0","","0"
"670","6940","Annavarappadu","0","","0"
"671","9796","Annavasal (Tamil Nadu)","0","","0"
"672","991","Anni","0","","0"
"673","11021","Annigeri","0","","0"
"674","2648","Annur","0","","0"
"675","7181","Anoopgarh","0","","0"
"676","10941","Anoppura","0","","0"
"677","12247","Ansing","0","","0"
"678","1936","Anta","0","","0"
"679","3422","Antagarh","0","","0"
"680","19147","Antali (rajasthan)","0","","0"
"681","17691","Antaliya","0","","0"
"682","22177","Antarveliya","0","","0"
"683","11386","Anthakudi","0","","0"
"684","8947","Antharkatte","0","","0"
"685","2496","Anthiyur","0","","0"
"686","11443","Anthoniyarpuram (Tuticorn)","0","","0"
"687","12766","Antroli","0","","0"
"688","8580","Anturli","0","","0"
"689","976","Anu","0","","0"
